"filename","folder","reentrancy_gt","overflow_gt","timestamp_gt","tod_gt","reentrancy_flag","overflow_flag","timestamp_flag","tod_flag","reentrancy_detectors","timestamp_detectors","solc_version","exit_code","status","duration_s"
"0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.86
"0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-benign|reentrancy-events|reentrancy-unlimited-gas","none","?",255,"OK",1.13
"0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.89
"0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.99
"0x89c1b3807d4c67df034fffb62f3509561218d30b.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",0.94
"0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.03
"0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol","unchecked_low_level_calls",0,0,0,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",0.98
"0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.21
"0xa1fceeff3acc57d257b917e30c4df661401d6431.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.93
"0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.77
"0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.95
"0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.2
"0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.73
"0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.0
"0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.0
"0xbaa3de6504690efb064420d89e871c27065cdd52.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.73
"0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.95
"0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.74
"0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.99
"0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.76
"0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-benign|reentrancy-eth|reentrancy-events|reentrancy-unlimited-gas","none","?",255,"OK",1.5
"0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.1
"0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.93
"0xe894d54dca59cb53fe9cbc5155093605c7068220.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.85
"0xec329ffc97d75fe03428ae155fc7793431487f63.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-no-eth","none","?",255,"OK",1.34
"0xf2570186500a46986f3139f65afedc2afe4f445d.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.81
"0xf29ebe930a539a60279ace72c707cba851a57707.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.62
"0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.76
"etherpot_lotto.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",1.11
"king_of_the_ether_throne.sol","unchecked_low_level_calls",0,0,0,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",0.73
"lotto.sol","unchecked_low_level_calls",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",1.13
"mishandled.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.13
"unchecked_return_value.sol","unchecked_low_level_calls",0,0,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",1.4
