dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
sbc,ERC20,Box,1,0.94,0.0,False,OK
sbc,FindThisHash,Box,1,1.4,0.6037,True,OK
sbc,FindThisHash,Box,2,1.39,0.6047,True,OK
sbc,FindThisHash,Box,3,1.42,0.6047,True,OK
sbc,FindThisHash,Octagon,1,1.4,0.6064,True,OK
sbc,FindThisHash,Octagon,2,1.4,0.6054,True,OK
sbc,FindThisHash,Octagon,3,1.4,0.6082,True,OK
sbc,FindThisHash,Polka,1,1.39,0.6063,True,OK
sbc,FindThisHash,Polka,2,1.41,0.6107,True,OK
sbc,FindThisHash,Polka,3,1.4,0.6071,True,OK
sbc,eth_tx_order_dependence_minimal,Box,1,1.44,0.6133,True,OK
sbc,eth_tx_order_dependence_minimal,Box,2,1.44,0.6241,True,OK
sbc,eth_tx_order_dependence_minimal,Box,3,1.44,0.6097,True,OK
sbc,eth_tx_order_dependence_minimal,Octagon,1,1.47,0.6169,True,OK
sbc,eth_tx_order_dependence_minimal,Octagon,2,1.46,0.6172,True,OK
sbc,eth_tx_order_dependence_minimal,Octagon,3,1.45,0.6151,True,OK
sbc,eth_tx_order_dependence_minimal,Polka,1,1.46,0.6288,True,OK
sbc,eth_tx_order_dependence_minimal,Polka,2,1.45,0.6163,True,OK
sbc,eth_tx_order_dependence_minimal,Polka,3,1.47,0.6153,True,OK
sbc,odds_and_evens,Box,1,0.09,0.0,False,ERR
sbc,crypto_roulette,Box,1,1.53,0.6157,True,OK
sbc,crypto_roulette,Box,2,1.53,0.6331,True,OK
sbc,crypto_roulette,Box,3,1.52,0.6154,True,OK
sbc,crypto_roulette,Octagon,1,1.67,0.7624,True,OK
sbc,crypto_roulette,Octagon,2,1.64,0.7288,True,OK
sbc,crypto_roulette,Octagon,3,1.61,0.7024,True,OK
sbc,crypto_roulette,Polka,1,1.57,0.652,True,OK
sbc,crypto_roulette,Polka,2,1.57,0.6337,True,OK
sbc,crypto_roulette,Polka,3,1.56,0.6346,True,OK
sbc,name_registrar,Box,1,0.68,0.0,False,ERR
sbc,open_address_lottery,Box,1,0.92,0.0,False,ERR
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Box,1,11.29,10.4142,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Box,2,11.35,10.4463,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Box,3,11.36,10.4791,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Octagon,1,17.05,16.0177,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Octagon,2,18.05,15.8746,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Octagon,3,17.2,15.9058,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Polka,1,12.98,11.9238,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Polka,2,13.22,12.0886,True,OK
sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Polka,3,12.94,11.9918,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Box,1,11.42,10.3395,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Box,2,11.44,10.3634,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Box,3,11.37,10.3116,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Octagon,1,15.41,14.2605,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Octagon,2,15.73,13.8082,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Octagon,3,15.52,13.9092,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Polka,1,12.64,11.3398,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Polka,2,12.66,11.362,True,OK
sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,Polka,3,12.65,11.41,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Box,1,11.28,10.4047,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Box,2,11.31,10.4425,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Box,3,11.28,10.4027,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Octagon,1,17.28,16.2915,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Octagon,2,17.51,15.7006,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Octagon,3,17.22,15.9992,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Polka,1,13.05,12.0484,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Polka,2,13.01,11.945,True,OK
sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Polka,3,13.05,11.9418,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Box,1,11.32,10.4536,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Box,2,11.31,10.4164,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Box,3,11.24,10.3748,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Octagon,1,17.14,15.856,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Octagon,2,17.06,16.0095,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Octagon,3,17.49,16.2902,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Polka,1,13.27,12.0186,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Polka,2,12.74,11.7918,True,OK
sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Polka,3,12.66,11.7371,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Box,1,11.31,10.4296,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Box,2,11.3,10.4045,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Box,3,11.31,10.443,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Octagon,1,16.77,15.7681,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Octagon,2,17.65,16.2652,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Octagon,3,17.47,16.1545,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Polka,1,13.08,11.8731,True,OK
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Polka,2,12.87,11.8877,True,OK
