dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
solidifi,buggy_41,Polka,3,15.71,12.6055,True,OK
solidifi,buggy_42,Box,1,2.03,0.0,False,ERR
solidifi,buggy_43,Box,1,2.28,0.0,False,ERR
solidifi,buggy_44,Box,1,2.41,0.0,False,ERR
solidifi,buggy_45,Box,1,2.11,0.0,False,ERR
solidifi,buggy_46,Box,1,1.08,0.0,False,ERR
solidifi,buggy_47,Box,1,0.69,0.0,False,ERR
solidifi,buggy_48,Box,1,0.49,0.0,False,ERR
solidifi,buggy_49,Box,1,0.93,0.0424,True,OK
solidifi,buggy_49,Box,2,0.91,0.0257,True,OK
solidifi,buggy_49,Box,3,0.9,0.026,True,OK
solidifi,buggy_49,Octagon,1,1.2,0.2958,True,OK
solidifi,buggy_49,Octagon,2,1.17,0.2643,True,OK
solidifi,buggy_49,Octagon,3,1.32,0.4044,True,OK
solidifi,buggy_49,Polka,1,1.07,0.1773,True,OK
solidifi,buggy_49,Polka,2,1.1,0.189,True,OK
solidifi,buggy_49,Polka,3,1.07,0.1822,True,OK
solidifi,buggy_5,Box,1,2.52,0.0,False,ERR
solidifi,buggy_50,Box,1,0.27,0.0,False,ERR
solidifi,buggy_6,Box,1,1.66,0.0,False,ERR
solidifi,buggy_7,Box,1,1.72,0.0,False,ERR
solidifi,buggy_8,Box,1,2.41,0.0,False,ERR
solidifi,buggy_9,Box,1,1.92,0.0,False,ERR
