filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,swc_107_count,swc_101_count,swc_116_count,swc_114_count,raw_json_path
14284.sol,1,1,0,0,78.69,OK,0.4.25,2,2,0,0,results/mythril/qian/raw_json/14284.json
1430.sol,1,0,0,0,304.73,OK,0.4.25,1,0,0,0,results/mythril/qian/raw_json/1430.json
14351.sol,0,0,1,0,7.64,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/14351.json
14353.sol,0,0,0,1,6.51,OK,0.4.25,0,0,0,1,results/mythril/qian/raw_json/14353.json
14381.sol,0,0,0,0,6.6,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/14381.json
14439.sol,0,0,0,0,4.98,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/14439.json
1445.sol,1,0,1,0,18.16,OK,0.4.25,7,0,1,0,results/mythril/qian/raw_json/1445.json
14620.sol,1,0,0,0,36.27,OK,0.4.25,1,0,0,0,results/mythril/qian/raw_json/14620.json
14634.sol,0,0,1,0,5.57,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/14634.json
14711.sol,0,0,0,0,4.32,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/14711.json
14872.sol,0,0,1,0,6.94,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/14872.json
14928.sol,0,0,0,0,5.67,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/14928.json
14994.sol,1,0,0,1,11.01,OK,0.4.25,4,0,0,1,results/mythril/qian/raw_json/14994.json
14997.sol,0,0,0,0,4.56,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/14997.json
15.sol,0,0,1,0,4.24,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/15.json
15038.sol,0,0,1,0,6.71,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/15038.json
1532.sol,0,0,0,0,6.81,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1532.json
1533.sol,0,0,0,0,12.76,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1533.json
15566.sol,0,0,1,0,54.3,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/15566.json
15641.sol,0,0,0,0,6.93,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/15641.json
15671.sol,0,0,1,0,4.34,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/15671.json
15822.sol,0,0,0,0,49.92,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/15822.json
15930.sol,0,0,0,0,3.68,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/15930.json
16018.sol,0,0,0,0,5.09,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/16018.json
1631.sol,0,0,1,0,12.3,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1631.json
16407.sol,0,0,0,0,4.23,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/16407.json
16521.sol,0,0,1,0,3.61,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/16521.json
16643.sol,0,0,0,0,16.05,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/16643.json
1667.sol,0,0,0,0,4.29,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1667.json
1668.sol,0,0,1,0,4.05,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1668.json
169.sol,0,0,1,0,4.06,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/169.json
16925.sol,1,0,0,1,17.88,OK,0.4.25,2,0,0,1,results/mythril/qian/raw_json/16925.json
16957.sol,0,0,0,0,3.59,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/16957.json
16979.sol,0,0,1,0,5.59,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/16979.json
170.sol,0,0,1,0,5.91,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/170.json
17043.sol,1,0,0,1,21.84,OK,0.4.25,2,0,0,1,results/mythril/qian/raw_json/17043.json
17401.sol,0,0,0,0,6.73,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/17401.json
176.sol,0,0,1,0,5.25,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/176.json
