filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
30337.sol,N/A,N/A,1.38,1,-1,-1,-1
30338.sol,N/A,FP,1.66,1,-1,-1,-1
30343.sol,N/A,TN,1.54,-1,-1,0,-1
30396.sol,N/A,FN,1.12,-1,-1,0,-1
30460.sol,N/A,FP,1.66,1,-1,-1,-1
30507.sol,N/A,TN,1.39,-1,-1,0,-1
30772.sol,N/A,FN,1.13,-1,-1,0,-1
30813.sol,N/A,TN,1.52,-1,-1,0,-1
30815.sol,N/A,TN,1.52,-1,-1,0,-1
30925.sol,N/A,TN,1.53,-1,-1,0,-1
30939.sol,N/A,TN,1.55,-1,-1,0,-1
30963.sol,N/A,TN,1.7,-1,-1,0,-1
30976.sol,N/A,TN,1.44,-1,-1,0,-1
31237.sol,N/A,TN,1.35,0,-1,-1,-1
31238.sol,N/A,TN,1.61,0,-1,-1,-1
31497.sol,N/A,N/A,2.62,1,-1,-1,-1
31551.sol,N/A,TN,1.45,-1,-1,0,-1
31565.sol,N/A,FP,1.51,1,-1,-1,-1
31758.sol,N/A,FN,1.14,-1,-1,0,-1
31759.sol,N/A,N/A,2.22,0,-1,-1,-1
318.sol,N/A,FN,1.16,-1,-1,0,-1
31812.sol,N/A,FN,1.18,-1,-1,0,-1
3185.sol,N/A,TN,1.48,-1,-1,0,-1
31867.sol,N/A,TN,1.54,-1,-1,0,-1
31892.sol,N/A,TN,1.46,-1,-1,0,-1
31999.sol,N/A,FN,1.23,-1,-1,0,-1
32007.sol,N/A,FN,1.18,-1,-1,0,-1
3211.sol,N/A,N/A,1.5,-1,-1,-1,-1
32175.sol,N/A,FN,1.11,-1,-1,0,-1
32522.sol,N/A,N/A,2.26,1,-1,-1,-1
3270.sol,N/A,N/A,2.28,-1,-1,-1,-1
33217.sol,N/A,TN,1.55,-1,-1,0,-1
33450.sol,N/A,TN,1.63,0,-1,-1,-1
33512.sol,N/A,FP,1.61,1,-1,-1,-1
33575.sol,N/A,TN,1.47,-1,-1,0,-1
33638.sol,N/A,TN,1.44,-1,-1,0,-1
33711.sol,N/A,TN,1.4,-1,-1,0,-1
339.sol,N/A,FN,1.11,-1,-1,0,-1
33974.sol,N/A,TN,1.54,-1,-1,0,-1
34068.sol,N/A,TN,1.49,-1,-1,0,-1
34272.sol,N/A,TN,1.44,-1,-1,0,-1
3434.sol,N/A,FN,1.23,-1,-1,0,-1
34432.sol,N/A,FP,1.62,1,-1,-1,-1
34442.sol,N/A,TN,1.47,-1,-1,0,-1
34526.sol,N/A,FP,1.58,1,-1,-1,-1
34575.sol,N/A,TN,1.49,-1,-1,0,-1
34668.sol,N/A,FP,1.44,1,-1,-1,-1
347.sol,N/A,FN,1.08,-1,-1,0,-1
34725.sol,N/A,TN,1.56,-1,-1,0,-1
34904.sol,N/A,TN,1.7,0,-1,-1,-1
34995.sol,N/A,FN,1.17,-1,-1,0,-1
35208.sol,N/A,TN,1.5,0,-1,-1,-1
35257.sol,N/A,TN,1.47,-1,-1,0,-1
35268.sol,N/A,TN,1.53,-1,-1,0,-1
35285.sol,N/A,TN,1.48,-1,-1,0,-1
35322.sol,N/A,TN,1.65,-1,-1,0,-1
35358.sol,N/A,TN,1.7,-1,-1,0,-1
3543.sol,N/A,FN,1.14,-1,-1,0,-1
3554.sol,N/A,TN,1.58,-1,-1,0,-1
3555.sol,N/A,TN,1.52,-1,-1,0,-1
35551.sol,N/A,TN,1.58,-1,-1,0,-1
35661.sol,N/A,N/A,1.49,1,-1,-1,-1
35662.sol,N/A,FP,1.59,1,-1,-1,-1
35713.sol,N/A,N/A,1.26,1,-1,-1,-1
35714.sol,N/A,FP,1.56,1,-1,-1,-1
35806.sol,N/A,N/A,1.28,1,-1,-1,-1
35807.sol,N/A,FP,1.56,1,-1,-1,-1
35878.sol,N/A,TN,1.57,0,-1,-1,-1
35897.sol,N/A,TN,1.54,-1,-1,0,-1
35951.sol,N/A,FP,1.6,1,-1,-1,-1
