filename,vulnerability,ground_truth,osiris_flagged,solc_version,exit_code,status,duration_s
30337.sol,overflow,0,0,0.4.21,0,TN,0.27
30396.sol,overflow,0,0,0.4.21,0,TN,0.24
30813.sol,overflow,0,0,0.4.21,0,TN,0.29
30815.sol,overflow,0,0,0.4.21,0,TN,0.25
31497.sol,overflow,0,0,0.4.21,0,TN,14.74
31759.sol,overflow,0,1,0.4.21,0,FP,0.33
318.sol,overflow,0,0,0.4.21,0,TN,0.31
3185.sol,overflow,0,0,0.4.21,0,TN,0.24
3211.sol,overflow,0,0,0.4.21,0,TN,0.35
32175.sol,overflow,0,0,0.4.21,0,TN,0.27
32522.sol,overflow,0,0,0.4.21,0,TN,0.27
3270.sol,overflow,0,0,0.4.21,0,TN,0.25
339.sol,overflow,0,0,0.4.21,0,TN,0.25
34442.sol,overflow,0,0,0.4.21,0,TN,0.27
35285.sol,overflow,0,0,0.4.21,0,TN,0.25
3554.sol,overflow,0,0,0.4.21,0,TN,0.27
35661.sol,overflow,0,0,0.4.21,0,TN,0.3
35713.sol,overflow,0,0,0.4.21,0,TN,0.35
3654.sol,overflow,0,0,0.4.21,0,TN,0.27
37891.sol,overflow,0,0,0.4.21,0,TN,0.28
38828.sol,overflow,0,0,0.4.21,0,TN,0.29
38876.sol,overflow,0,0,0.4.21,0,TN,0.3
38925.sol,overflow,0,0,0.4.21,0,TN,0.26
39095.sol,overflow,0,0,0.4.21,0,TN,0.29
39151.sol,overflow,0,0,0.4.21,0,TN,0.29
39199.sol,overflow,0,0,0.4.21,0,TN,15.97
39268.sol,overflow,0,0,0.4.21,0,TN,0.31
39341.sol,overflow,0,0,0.4.21,0,TN,14.97
39559.sol,overflow,0,0,0.4.21,0,TN,39.68
39583.sol,overflow,0,0,0.4.21,0,TN,24.33
39644.sol,overflow,0,0,0.4.21,0,TN,0.35
39684.sol,overflow,0,0,0.4.21,0,TN,0.42
39705.sol,overflow,0,0,0.4.21,0,TN,0.29
39817.sol,overflow,0,0,0.4.21,0,TN,0.25
400.sol,overflow,0,0,0.4.21,0,COMPILE_ERROR,0.15
40089.sol,overflow,0,0,0.4.21,0,TN,0.27
40252.sol,overflow,0,0,0.4.21,0,TN,0.27
40366.sol,overflow,0,0,0.4.21,0,TN,15.54
40413.sol,overflow,0,0,0.4.21,0,TN,0.27
40425.sol,overflow,0,0,0.4.21,0,TN,0.26
40500.sol,overflow,0,0,0.4.21,0,TN,0.27
40732.sol,overflow,0,0,0.4.21,0,TN,0.28
40733.sol,overflow,0,0,0.4.21,0,TN,0.27
40735.sol,overflow,0,0,0.4.21,0,TN,0.26
40749.sol,overflow,0,0,0.4.21,0,TN,0.27
40750.sol,overflow,0,0,0.4.21,0,TN,0.28
40753.sol,overflow,0,0,0.4.21,0,TN,0.3
40760.sol,overflow,0,0,0.4.21,0,TN,0.33
40768.sol,overflow,0,1,0.4.21,0,FP,0.33
44.sol,overflow,0,0,0.4.21,0,TN,0.27
4474.sol,overflow,0,0,0.4.21,0,TN,0.25
4523.sol,overflow,0,0,0.4.21,0,TN,0.28
4598.sol,overflow,0,0,0.4.21,0,TN,0.33
4926.sol,overflow,0,0,0.4.21,0,TN,0.26
496.sol,overflow,0,0,0.4.21,0,TN,0.27
4993.sol,overflow,0,0,0.4.21,0,TN,0.27
50000.sol,overflow,0,0,0.4.21,0,TN,0.27
50001.sol,overflow,0,0,0.4.21,0,TN,14.77
50013.sol,overflow,0,0,0.4.21,0,TN,0.27
50015.sol,overflow,0,0,0.4.21,0,TN,0.28
50021.sol,overflow,0,0,0.4.21,0,TN,0.27
50026.sol,overflow,0,0,0.4.21,0,TN,0.32
50027.sol,overflow,0,1,0.4.21,0,FP,0.37
50030.sol,overflow,0,0,0.4.21,0,TN,0.29
50215.sol,overflow,0,0,0.4.21,0,TN,0.27
50217.sol,overflow,0,0,0.4.21,0,TN,0.27
50221.sol,overflow,0,0,0.4.21,0,TN,0.28
50330.sol,overflow,0,0,0.4.21,0,TN,0.25
50331.sol,overflow,0,0,0.4.21,0,TN,0.38
50336.sol,overflow,0,0,0.4.21,0,TN,4.74
50337.sol,overflow,0,0,0.4.21,0,TN,0.47
50338.sol,overflow,0,0,0.4.21,0,TN,0.26
50339.sol,overflow,0,0,0.4.21,0,TN,0.26
50440.sol,overflow,0,0,0.4.21,0,TN,0.45
50441.sol,overflow,0,0,0.4.21,0,TN,1.97
50442.sol,overflow,0,0,0.4.21,0,TN,0.34
50444.sol,overflow,0,0,0.4.21,0,TN,0.45
50445.sol,overflow,0,0,0.4.21,0,TN,0.35
50446.sol,overflow,0,0,0.4.21,0,TN,0.43
50447.sol,overflow,0,0,0.4.21,0,TN,0.28
50449.sol,overflow,0,0,0.4.21,0,TN,15.98
50550.sol,overflow,0,0,0.4.21,0,TN,0.45
50551.sol,overflow,0,0,0.4.21,0,TN,0.3
50553.sol,overflow,0,0,0.4.21,0,TN,0.67
